Country,FDI 2016,FDI 2017,FDI 2018,FDI 2019,Region,GDP 2018,tech_export_2018 (million)
Oman,-23,-9,15,-3,Middle East,"$79,275,422,626.79 ",73.3026
Pakistan,-14,225,167,154,Asia,"$314,567,541,558.34 ",380.3684
Panama,"2,749","2,466","2,789","2,965",Central America& Caribbean,"$65,128,200,000.00 ",0
Paraguay,-3,(D),-9,(D),South America,"$40,384,691,790.57 ",102.3366
Peru,143,177,195,209,South America,"$222,044,970,486.22 ",210.4786
Philippines,739,697,361,474,Pacific,"$346,841,896,889.55 ",33903.5534
Poland,(D),(D),(D),(D),Europe,"$587,114,101,392.70 ",22236.7724
Portugal,931,"1,101","1,056","1,100",Europe,"$241,274,628,877.36 ",2978.2195
Qatar,"2,229","2,452",(D),(D),Middle East,"$191,362,087,912.09 ",0.0367
Romania,(D),(D),3,-38,Europe,"$241,626,953,521.41 ",6637.1401
Russia,"4,472","4,355","4,455","4,371",Asia,"$1,669,583,089,322.96 ",10183.0078
Rwanda,0,0,0,0,Africa,"$9,627,720,629.71 ",0
Samoa,(D),(D),(D),(D),Pacific,"$820,491,817.33 ",0.1421
Sao Tome and Principe,0,0,0,0,Africa,"$422,295,934.15 ",1.3329
Saudi Arabia,(D),"6,116","6,912","6,220",Middle East,"$786,521,831,573.33 ",285.4141
Senegal,-2,(D),1,(D),Africa,"$23,236,007,428.26 ",28.1557
Serbia,2,7,3,-5,Europe,"$50,597,289,146.70 ",458.0794
Sierra Leone,0,0,0,0,Africa,"$4,085,114,794.22 ",0
Singapore,"21,661","18,185","18,267","21,060",Pacific,"$373,217,081,850.53 ",155000
Slovakia,18,10,14,-10,Europe,"$105,820,499,976.72 ",8971.2428
Slovenia,(D),8,6,5,Europe,"$54,034,358,544.26 ",2089.3864
Solomon Islands,0,0,0,0,Pacific,"$1,395,608,475.32 ",0.1713
South Korea,"42,426","54,183","56,612","61,822",Asia,"$1,720,578,827,805.54 ",193000
Spain,"71,559","77,816","83,379","86,796",Europe,"$1,419,735,245,004.70 ",16982.2448
Sri Lanka,65,47,66,67,Asia,"$88,425,889,592.15 ",0
Sudan 5,(*),(*),(*),(*),Africa,"$26,078,607,538.57 ",0
Suriname,(D),(D),-7,(D),South America,"$3,458,090,452.26 ",1.169
Sweden,"48,372","51,286","49,546","52,683",Europe,"$555,455,371,487.09 ",17441.8322
Switzerland,"267,657","274,721","295,783","300,393",Europe,"$705,140,620,046.70 ",30136.2426
Tajikistan,(*),0,0,0,Asia,"$7,522,947,810.12 ",0
Tanzania,-1,(*),1,1,Africa,"$58,001,200,572.40 ",186.2584
Thailand,"3,142","2,418","2,136","1,904",Asia,"$506,514,103,905.27 ",44795.082
Trinidad and Tobago,109,142,165,69,South America,"$23,808,146,747.80 ",0
Tunisia,-18,-14,1,1,Africa,"$39,770,297,328.95 ",0
Turkey,"1,663","1,919","2,175","2,340",Middle East,"$771,350,331,372.71 ",3116.828
Ukraine,4,11,-3,(*),Europe,"$130,901,858,421.72 ",1247.5559
United Arab Emirates,"2,796","4,871","5,530","5,099",Middle East,"$422,215,043,584.97 ",2395.5695
United Kingdom,"505,190","487,570","496,622","505,088",Europe,"$2,860,667,727,551.97 ",76926.541
Uruguay,460,84,538,686,South America,"$59,596,885,023.09 ",120.1979
Vietnam,391,94,59,57,Asia,"$245,213,686,369.16 ",82613.421
Yemen,(D),0,0,0,Middle East,"$27,591,261,663.29 ",0
Zambia,(D),-5,-6,-1,Africa,"$27,005,238,896.17 ",25.8055
Zimbabwe,0,(*),-3,0,Africa,"$24,311,560,500.00 ",9.7194
,,,,,,,
