country_name,Country,indicator_name,indicator_code,tech_export_2017 (million),tech_export_2018 (million),tech_export_2019 (million)
Suriname,SUR,High-technology exports,TX.VAL.TECH.CD,1.0285,1.169,
Sweden,SWE,High-technology exports,TX.VAL.TECH.CD,17434.0425,17441.8322,17474.4206
Switzerland,CHE,High-technology exports,TX.VAL.TECH.CD,29844.3236,30136.2426,29879.337
Syrian Arab Republic,SYR,High-technology exports,TX.VAL.TECH.CD,,,
Tajikistan,TJK,High-technology exports,TX.VAL.TECH.CD,,,
Tanzania,TZA,High-technology exports,TX.VAL.TECH.CD,16.9627,186.2584,
Thailand,THA,High-technology exports,TX.VAL.TECH.CD,43987.0991,44795.082,
Timor-Leste,TLS,High-technology exports,TX.VAL.TECH.CD,,,
Togo,TGO,High-technology exports,TX.VAL.TECH.CD,0.5576,,
Tonga,TON,High-technology exports,TX.VAL.TECH.CD,,,
Trinidad and Tobago,TTO,High-technology exports,TX.VAL.TECH.CD,,,
Tunisia,TUN,High-technology exports,TX.VAL.TECH.CD,850.853,,
Turkey,TUR,High-technology exports,TX.VAL.TECH.CD,3500.8961,3116.828,
Turkmenistan,TKM,High-technology exports,TX.VAL.TECH.CD,,,
Tuvalu,TUV,High-technology exports,TX.VAL.TECH.CD,,,
Uganda,UGA,High-technology exports,TX.VAL.TECH.CD,8.1237,19.9126,
Ukraine,UKR,High-technology exports,TX.VAL.TECH.CD,1267.1451,1247.5559,
United Arab Emirates,ARE,High-technology exports,TX.VAL.TECH.CD,2188.9531,2395.5695,
United Kingdom,GBR,High-technology exports,TX.VAL.TECH.CD,75275.6948,76926.541,77909.845
Uruguay,URY,High-technology exports,TX.VAL.TECH.CD,129.2153,120.1979,
Uzbekistan,UZB,High-technology exports,TX.VAL.TECH.CD,41.0868,12.429,
Vanuatu,VUT,High-technology exports,TX.VAL.TECH.CD,,,
"Venezuela, RB",VEN,High-technology exports,TX.VAL.TECH.CD,,,
Vietnam,VNM,High-technology exports,TX.VAL.TECH.CD,74113.9404,82613.421,
West Bank and Gaza,PSE,High-technology exports,TX.VAL.TECH.CD,4.2922,6.2439,
"Yemen, Rep.",YEM,High-technology exports,TX.VAL.TECH.CD,,,
Zambia,ZMB,High-technology exports,TX.VAL.TECH.CD,36.2658,25.8055,22.4787
Zimbabwe,ZWE,High-technology exports,TX.VAL.TECH.CD,11.2062,9.7194,27.013
