country_code,country_name,capital_city,lat,lng,GDP_2018 (million),tech_export_2018 (million),doing_business_2018,region,fdi_USA_2018 (million)
CYP,Cyprus,Lefkosia (Nicosia),35.1595,33.3669,24961.995748701,95.7124,72.3,Europe ,323.0
DNK,Denmark,København (Copenhagen),55.6759,12.5655,355675.329085952,9587.8754,84.6,Europe ,20654.0
DJI,Djibouti,Djibouti,11.5877,43.1447,3012.8204096331297,,50.9,Africa,0.0
DMA,Dominica,Roseau,15.3017,-61.3881,550.8925925925929,,61.7,Latin America,0.0
DOM,Dominican Republic,Santo Domingo,18.4896,-69.9018,85555.37804281959,,59.1,Latin America,107.0
ECU,Ecuador,Quito,-0.2299,-78.525,107562.008,68.40100000000001,57.5,Latin America,30.0
EGY,"Egypt, Arab Rep.",Al-Qahirah (Cairo),30.0392,31.2394,250894.760351232,125.2166,55.8,Africa,-43.0
SLV,El Salvador,San Salvador,13.6894,-89.1872,26117.4,277.8486,64.7,Latin America,16.0
GNQ,Equatorial Guinea,Malabo,3.75,8.7833,13278.488567305802,,40.3,Africa,-3.0
ERI,Eritrea,Asmara,15.3333,38.9333,,,21.4,Africa,0.0
SWZ,Eswatini,,,,4710.61847004358,11.4321,58.6,Africa,0.0
FIN,Finland,Helsinki,60.1692,24.9402,275893.68135589204,4515.4147,80.0,Europe ,14464.0
FRA,France,Paris,48.8534,2.3488,2787863.9588854904,118000.0,76.0,Europe ,268169.0
GAB,Gabon,Libreville,0.3925,9.4537,16862.2824138778,,44.7,Africa,0.0
GMB,"Gambia, The",Banjul,13.4531,-16.6794,1624.60088232255,0.0062,47.8,Africa,0.0
GEO,Georgia,Tbilisi,41.6941,44.8337,17599.700090762002,26.9503,83.0,Europe ,0.0
DEU,Germany,Berlin,52.5244,13.4105,3949548.83395294,210000.0,79.3,Europe ,328124.0
GHA,Ghana,Accra,5.556,-0.1969,65556.4640481539,50.0067,58.4,Africa,-4.0
GIB,Gibraltar,Gibraltar,36.1447,-5.3526,,,,Europe ,9367.0
GRC,Greece,Athínai (Athens),37.9534,23.749000000000002,218138.36744499,1754.8020000000001,67.1,Europe ,639.0
GRD,Grenada,St.George's,12.0564,-61.7485,1168.6962962963,,53.3,Latin America,8.0
GTM,Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,73118.1478082775,,61.5,Latin America,-9.0
